user_id,discovered,passed,started_attempt,viewed,correct,wrong,num_days,passed_course
1,1,0,0,1,0,0,1,0
2,9,9,2,9,2,0,1,0
3,15,15,4,20,4,4,1,0
5,1,1,0,1,0,0,1,0
7,1,1,0,1,0,0,1,0
8,109,84,37,154,9,21,1,0
9,3,3,0,4,0,0,1,0
11,1,0,1,1,0,0,1,0
14,4,3,1,9,0,1,1,0
16,50,49,21,117,18,23,2,1
17,6,5,1,13,0,2,1,0
18,3,2,0,3,0,0,1,0
20,10,8,0,13,0,0,1,0
22,43,41,19,74,15,9,2,1
24,1,1,0,2,0,0,1,0
25,26,20,10,40,1,4,2,0
26,27,25,7,32,7,16,2,0
28,1,1,0,2,0,0,1,0
30,9,9,2,15,2,0,2,1
31,27,24,7,34,4,5,2,0
32,14,13,4,14,3,0,1,0
33,4,3,1,4,0,0,1,0
34,24,24,10,37,9,4,2,1
36,1,1,0,1,0,0,1,0
37,1,1,0,1,0,0,1,0
38,1,0,0,1,0,0,1,0
39,13,12,2,16,2,0,2,1
41,3,1,0,5,0,0,1,0
42,1,1,0,1,0,0,1,0
43,60,45,7,66,6,3,2,0
44,11,11,2,16,2,0,1,0
46,24,24,8,24,8,2,1,0
47,10,8,0,12,0,0,1,0
48,1,0,0,1,0,0,1,0
49,9,9,2,9,2,0,1,0
50,11,11,2,11,2,0,1,0
51,1,0,0,2,0,0,1,0
52,1,0,0,2,0,0,2,0
53,12,6,7,17,0,0,1,0
54,9,9,2,9,2,0,1,0
56,1,1,0,1,0,0,1,0
57,25,24,9,34,8,8,3,0
59,1,1,0,1,0,0,1,0
60,27,24,2,28,2,0,2,1
63,23,23,11,23,8,3,1,0
64,3,3,0,3,0,0,1,0
65,9,7,0,9,0,0,1,0
66,9,9,2,15,2,0,1,1
67,50,45,22,122,15,27,2,0
68,6,6,4,8,2,2,1,0
69,5,4,0,5,0,0,1,0
70,6,6,2,7,2,0,1,0
71,3,3,0,3,0,0,1,0
73,11,11,2,16,2,0,1,1
75,10,10,2,15,2,0,2,0
76,70,65,9,122,2,1,3,0
77,2,0,2,3,0,0,1,0
78,11,11,2,13,2,0,1,0
79,1,1,0,1,0,0,1,0
80,130,129,16,168,15,3,1,1
82,1,1,0,2,0,0,1,0
85,1,0,1,1,0,0,1,0
86,1,0,1,3,0,0,1,0
87,1,1,0,1,0,0,1,1
88,3,1,0,3,0,0,1,0
89,23,23,8,26,8,3,2,1
91,28,28,11,85,11,9,3,0
94,13,12,2,16,2,0,2,0
95,20,19,8,26,5,4,1,0
96,10,10,2,14,2,0,1,0
97,9,9,5,16,2,3,1,0
100,27,27,14,39,9,5,1,0
101,6,6,2,6,2,0,1,0
103,3,3,0,4,0,0,1,0
104,9,9,3,12,2,0,1,0
106,1,0,0,2,0,0,1,0
108,11,11,2,15,2,0,1,0
110,1,1,0,1,0,0,1,0
111,25,25,10,53,9,10,1,1
114,1,1,0,1,0,0,1,0
115,22,21,10,30,8,1,1,0
116,2,2,0,2,0,0,1,0
117,1,0,1,1,0,0,1,0
118,1,1,0,1,0,0,1,0
120,10,10,2,10,2,0,1,0
121,10,8,2,13,0,0,1,0
123,15,11,0,19,0,0,1,0
125,4,4,0,5,0,0,1,0
126,1,1,0,2,0,0,1,0
127,15,15,5,15,4,3,1,0
128,1,1,0,1,0,0,1,0
129,9,9,2,15,2,0,3,0
130,9,9,2,10,2,0,1,0
131,5,2,0,8,0,0,2,0
132,3,3,0,4,0,0,1,0
133,25,23,11,40,6,24,1,0
134,18,17,0,18,0,0,1,0
135,2,2,0,3,0,0,1,0
137,1,0,0,1,0,0,1,0
138,25,25,9,25,9,7,2,0
139,2,2,0,2,0,0,1,0
142,3,2,1,5,0,0,1,0
144,12,12,2,12,2,0,1,0
145,125,110,0,147,0,0,2,0
146,1,1,0,1,0,0,1,0
147,42,29,3,48,0,0,1,0
148,7,4,2,10,0,0,1,0
149,1,1,0,1,0,0,1,1
151,1,1,0,4,0,0,1,0
152,11,11,4,12,2,2,1,0
154,5,5,0,6,0,0,1,0
156,10,10,2,10,2,0,1,0
157,32,32,10,75,10,5,2,0
158,2,2,0,2,0,0,1,0
160,2,1,0,2,0,0,1,0
